NO,개설대학,개설학과,개설전공,"교양영역구분",학정번호,과목명,외국인전용,원격100%,원격50%,사전녹화100%,재직자전형,집중이수제,외국어강의,외국어강의비율(%),신입생 및 1학년 분반,이수구분,인증/연계,주야,학점,시수,담당교수,요일1-일,요일1-시간,요일1-강의실,요일2-일,요일2-시간,요일2-강의실,요일3-일,요일3-시간,요일3-강의실,"비고(1학년은 신입생 및 1학년 분반 정보 참고하여 수강)"
362 ,공통,공통,공통,서울권역e-러닝계열,0000-1-9930-01,"화폐와금융의과거,현재그리고미래",,Y,,Y,,,,,,교선,,주,3 ,3 ,,토,30 ,,,,,,,,
363 ,공통,공통,공통,대학실용영어,0000-2-1079-01,영어회화2,,,,,,,영어,100 ,,교선,,주,3 ,3 ,에이미,월,3 ,기308,수,4 ,기308,,,,
364 ,공통,공통,공통,대학실용영어,0000-2-1079-02,영어회화2,,,,,,,,,,교선,,주,3 ,3 ,브라이언,화,2 ,기307,목,1 ,기307,,,,
365 ,공통,공통,공통,대학실용영어,0000-2-1079-03,영어회화2,,,,,,,영어,100 ,,교선,,주,3 ,3 ,에이미,화,3 ,기308,목,4 ,기308,,,,
366 ,공통,공통,공통,대학실용영어,0000-2-1079-04,영어회화2,,,,,,,영어,70 ,,교선,,주,3 ,3 ,고현아,월,5 ,한울203,수,6 ,한울203,,,,
367 ,공통,공통,공통,예술과체육,0000-2-2942-01,미술의이해,,,,,,,,,,교선,,주,3 ,3 ,김영찬,월,2 ,한울504,수,1 ,한울504,,,,
368 ,공통,공통,공통,예술과체육,0000-2-2968-01,한국의문화유산,,,,,,,,,,교선,,주,3 ,3 ,조시내,금,"1,2",한울411,,,,,,,
369 ,공통,공통,공통,예술과체육,0000-2-2968-02,한국의문화유산,Y,,,,,,,0 ,,교선,,주,3 ,3 ,김형근,월,1 ,한울B102,수,2 ,한울B102,,,,
370 ,공통,공통,공통,글로벌문화와제2외국어,0000-2-2977-01,생활한문,,,,,,,,0 ,,교선,,주,3 ,3 ,박혜순,월,6 ,비420,수,5 ,비420,,,,
371 ,공통,공통,공통,글로벌문화와제2외국어,0000-2-2977-02,생활한문,,,,,,,,,,교선,,주,3 ,3 ,김연주,화,4 ,비428,목,3 ,비428,,,,
372 ,공통,공통,공통,글로벌문화와제2외국어,0000-2-2977-03,생활한문,,,,,,,,0 ,,교선,,주,3 ,3 ,여봉수,화,6 ,기303,목,5 ,기303,,,,
373 ,공통,공통,공통,글로벌문화와제2외국어,0000-2-2977-04,생활한문,,,,,,,,0 ,,교선,,주,3 ,3 ,김홍구,금,"1,2",기303,,,,,,,
374 ,공통,공통,공통,글로벌문화와제2외국어,0000-2-2977-05,생활한문,,,,,,,,0 ,,교선,,주,3 ,3 ,안나미,월,5 ,비420,수,6 ,비420,,,,
375 ,공통,공통,공통,사회와경제,0000-2-2981-01,국가와행정,,,,,,,,,,교선,,주,3 ,3 ,서승현,금,"1,2",한울408,,,,,,,
376 ,공통,공통,공통,사회와경제,0000-2-2988-01,법과경제,,,,,,,,,,교선,,주,3 ,3 ,신주희,금,"3,4",한울B102,,,,,,,
377 ,공통,공통,공통,과학과기술,0000-2-2991-01,자연과학사,,,,,,,영어,50 ,,교선,,주,3 ,3 ,박봉주,금,"3,4",옥206,,,,,,,
378 ,공통,공통,공통,과학과기술,0000-2-2991-02,자연과학사,,,,,,,,0 ,,교선,,주,3 ,3 ,박경순,월,3 ,옥206,수,4 ,옥206,,,,
379 ,공통,공통,공통,과학과기술,0000-2-2994-01,환경과생태,,,,,,,,0 ,,교선,,주,3 ,3 ,김동수,금,"3,4",비427,,,,,,,
380 ,공통,공통,공통,사회와경제,0000-2-3008-01,조직과리더쉽,,,,,,,,0 ,,교선,,주,3 ,3 ,손주영,월,4 ,한울B101,수,3 ,한울B101,,,,
381 ,공통,공통,공통,사회와경제,0000-2-3008-02,조직과리더쉽,,,,,,,,0 ,,교선,,주,3 ,3 ,손주영,월,3 ,한울B101,수,4 ,한울B101,,,,
382 ,공통,공통,공통,과학과기술,0000-2-3029-01,인터넷활용,,,,,,,,0 ,,교선,,주,3 ,3 ,민영호,화,6 ,연202,목,5 ,연202,,,,
383 ,공통,공통,공통,과학과기술,0000-2-3029-02,인터넷활용,,,,,,,,0 ,,교선,,주,3 ,3 ,스레스터바누,금,"5,6",연202,,,,,,,
384 ,공통,공통,공통,과학과기술,0000-2-3298-01,모바일프로그래밍기초,,,,,,,,0 ,,교선,,주,3 ,3 ,문석재,금,"1,2",비513,,,,,,,
385 ,공통,공통,공통,사회와경제,0000-2-3537-01,[S-L]법과권리,,,,,,,,,,교선,,야,4 ,4 ,한재경,화,"7,8,9,10",한울404,,,,,,,
386 ,공통,공통,공통,사회와경제,0000-2-3645-01,법과정치,,,,,,,,0 ,,교선,,주,3 ,3 ,정영석,금,"1,2",한울B102,,,,,,,
387 ,공통,공통,공통,과학과기술,0000-2-3679-01,자바프로그래밍,,,,,,,,0 ,,교선,,주,3 ,3 ,문석재,금,"3,4",비513,,,,,,,로봇2학년
388 ,공통,공통,공통,인간과철학,0000-2-3932-01,한국근현대사,,,,,,,,,,교선,,주,3 ,3 ,김정권,월,1 ,한울B103,수,2 ,한울B103,,,,
389 ,공통,공통,공통,인간과철학,0000-2-3932-02,한국근현대사,,,,,,,,,,교선,,주,3 ,3 ,김정권,월,2 ,한울B103,수,1 ,한울B103,,,,
390 ,공통,공통,공통,인간과철학,0000-2-3933-01,예술철학으로의초대,,,,,,,,,,교선,,주,3 ,3 ,김수영,화,4 ,참202,목,3 ,참202,,,,
391 ,공통,공통,공통,인간과철학,0000-2-3937-01,동아시아국제관계사,,,,,,,,0 ,,교선,,주,3 ,3 ,유의상,금,"5,6",한울410,,,,,,,
392 ,공통,공통,공통,사회와경제,0000-2-3950-01,현대사회와인권,,,,,,,,0 ,,교선,,주,3 ,3 ,최현우,화,3 ,한울B102,목,4 ,한울B102,,,,
393 ,공통,공통,공통,과학과기술,0000-2-4100-01,실감미디어의이해,,Y,,Y,,,,0 ,,교선,,주,3 ,3 ,서영호,토,58 ,,,,,,,,
394 ,공통,공통,공통,외국어로서의한국어,0000-2-4122-01,인문사회한국어,Y,,,,,,,0 ,,교선,,주,3 ,3 ,이경수,화,3 ,한울404,목,4 ,한울404,,,,
395 ,공통,공통,공통,외국어로서의한국어,0000-2-4123-01,경영한국어,Y,,,,,,,0 ,,교선,,주,3 ,3 ,박지민,금,"5,6",한울B101,,,,,,,
396 ,공통,공통,공통,사회와경제,0000-2-4416-01,북한의이해와통일전략,,,,,,,,0 ,,교선,,주,3 ,3 ,손주영,화,"3,4",한울B101,,,,,,,
397 ,공통,공통,공통,예술과체육,0000-2-4417-01,재즈의역사,,,Y,,,,영어,100 ,,교선,,주,3 ,3 ,노정진,수,2 ,한울B104,,,,,,,
398 ,공통,공통,공통,글로벌문화와제2외국어,0000-2-4426-01,중국어HSK연습,,,,,,,중국어,50 ,,교선,,주,3 ,3 ,이명숙,금,"1,2",한울403,,,,,,,
399 ,공통,공통,공통,외국어로서의한국어,0000-2-4642-01,논리적글쓰기,Y,,,,,,,0 ,,교선,,주,3 ,3 ,이상일,수,"5,6",문119,,,,,,,
400 ,공통,공통,공통,외국어로서의한국어,0000-2-4642-02,논리적글쓰기,Y,,,,,,,0 ,,교선,,주,3 ,3 ,도옥루이엔,수,"3,4",문119,,,,,,,
401 ,공통,공통,공통,외국어로서의한국어,0000-2-4642-03,논리적글쓰기,Y,,,,,,,0 ,,교선,,주,3 ,3 ,오민수,수,"3,4",문120,,,,,,,
402 ,공통,공통,공통,외국어로서의한국어,0000-2-4642-04,논리적글쓰기,Y,,,,,,,0 ,,교선,,주,3 ,3 ,김연주,수,"5,6",문120,,,,,,,
403 ,공통,공통,공통,서울권역e-러닝계열,0000-2-4655-01,빅데이터시대의ESG트렌드,,Y,,Y,,,,,,교선,,주,3 ,3 ,,토,29 ,,,,,,,,
404 ,공통,공통,공통,서울권역e-러닝계열,0000-2-4656-01,언어의품격:언어바르고품위있게사용하기,,Y,,Y,,,,,,교선,,주,3 ,3 ,,토,28 ,,,,,,,,
405 ,공통,공통,공통,인간과철학,0000-2-4833-01,한국가족의역사와현재,,,Y,,,,,0 ,,교선,,주,3 ,3 ,김인호,월,3 ,한울305,,,,,,,
406 ,공통,공통,공통,사회와경제,0000-2-4834-01,한국사회와다문화이해,Y,,,,,,,,,교선,,주,3 ,3 ,홍성주,금,"3,4",한울B103,,,,,,,
407 ,공통,공통,공통,글로벌문화와제2외국어,0000-2-4921-01,JLPT연습,,,,,,,일본어,50 ,,교선,,주,3 ,3 ,권혁인,금,"5,6",한울404,,,,,,,
408 ,공통,공통,공통,예술과체육,0000-2-4925-01,현대사회와스포츠,,,,,,,,,,교선,,야,3 ,3 ,구송광,수,"7,8,9",비420,,,,,,,
409 ,공통,공통,공통,예술과체육,0000-2-4925-02,현대사회와스포츠,,,,,,,,0 ,,교선,,주,3 ,3 ,진지형,월,"3,4",비405,,,,,,,
410 ,공통,공통,공통,글로벌문화와제2외국어,0000-2-4932-01,스크린중국어,,,,,,,,,,교선,,주,3 ,3 ,박현곤,화,1 ,한울403,목,2 ,한울403,,,,
411 ,공통,공통,공통,수리와자연(수학),0000-2-4969-01,공학수학1,,,,,,,,0 ,,교선,,주,3 ,3 ,김민규,금,"5,6",화311,,,,,,,건축공학과 2학년
